Speaker|Party|Speech ID|Gendered Terms
Präsident Dr. Wolfgang Schäuble||73|[Landwirtschaft] Ernährung und Landwirtschaft Ausschuss für; [Bundesminister] hat der Bundesminister Andreas Scheuer
Andreas Scheuer||74|[Präsidentin] Frau Präsidentin Verehrte Kolleginnen; [Kolleginnen] Präsidentin Verehrte Kolleginnen und Kollegen; [Kollegen] Kolleginnen und Kollegen Gigabit immer; [Verbraucher] Rechte der Verbraucher Wir haben; [Techniker] wenn der Techniker einen zugesagten; [Unternehmer] Kooperationen der Unternehmer Eine wichtige; [Netzbetreiber] drei deutschen Netzbetreiber eine stärkere; [Ansprechpartner] durch einheitliche Ansprechpartner auf den; [Mobilfunkanbieter] für einen Mobilfunkanbieter in einem; [Kolleginnen] Land Liebe Kolleginnen und Kollegen; [Kollegen] Kolleginnen und Kollegen was wir
Vizepräsidentin Dagmar Ziegler||75|
Jörn König|AfD|76|[Präsidentin] geehrte Frau Präsidentin Sehr geehrte; [Kollegen] Sehr geehrte Kollegen Liebe Zuschauer; [Zuschauer] Kollegen Liebe Zuschauer auf den; [Weltmeister] wir aber Weltmeister egal ob; [Minister] ich dem Minister widersprechen Die; [Sekunde] Gigabit pro Sekunde in drei; [Minister] die Bundesregierung Minister lehnen Telefonate; [Bundeskanzlerin] geehrte Frau Bundeskanzlerin es tut; [Endkunden] Telefone der Endkunden tot Das; [Netzbetreiber] ein öffentlicher Netzbetreiber die Pflichten; [Einfamilienhäuser] hier Wer Einfamilienhäuser verbietet wer
Vizepräsidentin Dagmar Ziegler||77|
Falko Mohrs|SPD|78|[Präsidentin] geehrte Frau Präsidentin Meine Damen; [Glasfaser] sowohl im Glasfaser als auch
Vizepräsidentin Dagmar Ziegler||79|
Reinhard Houben|FDP|80|[Präsidentin] Frau Präsidentin Meine Damen; [Minister] und Herren Minister Scheuer dass; [Mobilfunkkunden] Zahlungsverzug bei Mobilfunkkunden nur dann
Vizepräsidentin Dagmar Ziegler||81|
Anke Domscheit-Berg|DIE LINKE|82|[Präsidentin] Sehr geehrte Präsidentin Liebe Kolleginnen; [Kolleginnen] Präsidentin Liebe Kolleginnen und Kollegen; [Kollegen] Kolleginnen und Kollegen Nicht nur; [Minister] Breitband hat Minister Scheuer allerdings; [Sekunde] Kilobit pro Sekunde ein „funktionaler; [Kanzlerin] Internet hat Kanzlerin Merkel versprach; [Minister] ist allerdings Minister Seehofers Fußabdruck
